401K,5:03,我孫子,←
531S,5:24,我孫子,←
547S,5:45,取手,←
565E,5:50,取手,←
535S,5:58,取手,←
609S,6:06,松戸,←
537S,6:11,取手,←
611K,6:17,取手,←
539S,6:22,我孫子,←
615S,6:26,取手,←
515K,6:32,取手,←
619S,6:39,取手,←
541S,6:44,柏,←
633S,6:48,取手,←
601S,6:52,取手,←
617K,6:58,柏,←
643S,7:03,取手,→
553E,7:08,柏,→
603S,7:12,取手,→
551E,7:16,柏,→
603K,7:21,取手,→
607S,7:28,柏,→
555S,7:31,我孫子,→
645S,7:36,松戸,→
613S,7:41,我孫子,→
659S,7:48,我孫子,→
653S,7:56,我孫子,→
717S,8:00,松戸,→
709S,8:07,我孫子,→
721S,8:18,我孫子,→
725K,8:22,松戸,→
721K,8:29,我孫子,→
757E,8:37,我孫子,→
661S,8:47,我孫子,←
705K,8:53,我孫子,←
827K,8:59,松戸,←
809K,9:04,我孫子,←
839S,9:10,我孫子,←
749E,9:18,我孫子,←
829K,9:22,我孫子,←
743E,9:28,松戸,→
815K,9:32,我孫子,←
713K,9:39,我孫子,←
825S,9:47,我孫子,←
923K,9:56,我孫子,←
911K,10:04,松戸,→
907S,10:07,我孫子,←
955S,10:15,我孫子,←
915S,10:24,我孫子,←
911S,10:35,我孫子,←
901S,10:45,我孫子,←
1005S,10:55,我孫子,←
903S,11:05,我孫子,←
1031K,11:15,我孫子,←
1003K,11:25,我孫子,←
1061S,11:35,我孫子,←
1021S,11:45,我孫子,←
1139S,11:55,我孫子,←
1059S,12:05,我孫子,←
1129K,12:15,我孫子,←
1109K,12:25,我孫子,←
1125S,12:35,我孫子,←
1149E,12:45,我孫子,←
1207S,12:55,我孫子,←
1213K,13:05,我孫子,←
1215S,13:15,我孫子,←
1223K,13:25,我孫子,←
1205S,13:35,我孫子,←
1255S,13:45,我孫子,←
1331K,13:55,我孫子,←
1311S,14:05,我孫子,←
1361S,14:15,我孫子,←
1303S,14:25,我孫子,←
1339S,14:35,我孫子,←
1303K,14:45,我孫子,←
1429K,14:55,我孫子,←
1421S,15:05,我孫子,←
1425S,15:15,我孫子,←
1459S,15:25,我孫子,←
1407S,15:35,我孫子,←
1409K,15:45,我孫子,←
1515S,15:55,我孫子,←
1549E,16:05,我孫子,←
1505S,16:15,我孫子,←
1513K,16:25,我孫子,←
1531K,16:35,我孫子,←
1523K,16:45,我孫子,←
1661S,16:54,我孫子,←
1633S,17:01,我孫子,←
1655S,17:09,我孫子,←
1643S,17:18,我孫子,←
1603K,17:25,我孫子,←
1641S,17:32,取手,←
1629K,17:37,我孫子,←
1709S,17:45,柏,←
1653S,17:49,取手,←
1639S,17:53,我孫子,←
1711K,17:59,柏,←
1603S,18:04,取手,←
1759S,18:09,我孫子,←
1707K,18:13,柏,←
1745S,18:17,取手,←
1723S,18:22,我孫子,←
1759E,18:26,柏,←
1719S,18:31,取手,←
1717K,18:35,我孫子,←
1761E,18:39,柏,←
1731S,18:44,取手,←
1727S,18:47,我孫子,←
1857S,18:53,柏,←
1701K,18:59,取手,←
1851S,19:02,我孫子,←
1805K,19:05,柏,←
1821S,19:08,取手,←
1813S,19:12,取手,←
1807S,19:17,柏,←
1831K,19:22,取手,←
1851E,19:27,柏,←
1823K,19:34,取手,←
1949S,19:41,柏,←
1801S,19:48,我孫子,←
1955S,19:52,柏,←
1945E,19:58,我孫子,←
1943S,20:05,我孫子,←
1805S,20:10,我孫子,←
1903K,20:15,我孫子,←
1865E,20:21,我孫子,←
1913K,20:27,我孫子,←
1929K,20:32,我孫子,←
1941S,20:39,我孫子,←
2009K,20:46,我孫子,←
2007K,20:53,柏,←
1961S,21:00,我孫子,←
1929S,21:08,我孫子,←
2003S,21:17,我孫子,←
2057S,21:26,我孫子,←
2017K,21:33,我孫子,←
2011K,21:40,我孫子,←
2053S,21:50,我孫子,←
2023S,21:59,我孫子,←
2101K,22:06,我孫子,←
2121S,22:16,我孫子,←
2155S,22:27,我孫子,←
2101S,22:37,我孫子,←
2131S,22:47,我孫子,←
2243S,22:57,我孫子,←
2119K,23:05,我孫子,←
2265E,23:14,我孫子,←
2229K,23:24,我孫子,←
2209K,23:33,我孫子,←
2207K,23:43,我孫子,←
2361S,23:52,我孫子,←
2321K,0:05,我孫子,←
2317K,0:16,我孫子,←
2311K,0:24,我孫子,←
2325K,0:31,我孫子,←
2401K,0:47,松戸,→
2429K,0:57,松戸,→
