time,train,unten
503,401K,week
524,531S,week
545,547S,week
550,565E,week
558,535S,week
606,609S,week
611,537S,week
617,611K,week
622,539S,week
626,615S,week
632,515K,week
639,619S,week
644,541S,week
648,633S,week
652,601S,week
658,617K,week
703,643S,week
708,553E,week
712,603S,week
716,551E,week
721,603K,week
728,607S,week
731,555S,week
736,645S,week
741,613S,week
748,659S,week
756,653S,week
800,717S,week
807,709S,week
818,721S,week
822,725K,week
829,721K,week
837,757E,week
847,661S,week
853,705K,week
859,827K,week
904,809K,week
910,839S,week
918,749E,week
922,829K,week
928,743E,week
932,815K,week
939,713K,week
947,825S,week
956,923K,week
1004,911K,week
1007,907S,week
1015,955S,week
1024,915S,week
1035,911S,week
1045,901S,week
1055,1005S,week
1105,903S,week
1115,1031K,week
1125,1003K,week
1135,1061S,week
1145,1021S,week
1155,1139S,week
1205,1059S,week
1215,1129K,week
1225,1109K,week
1235,1125S,week
1245,1149E,week
1255,1207S,week
1305,1213K,week
1315,1215S,week
1325,1223K,week
1335,1205S,week
1345,1255S,week
1355,1331K,week
1405,1311S,week
1415,1361S,week
1425,1303S,week
1435,1339S,week
1445,1303K,week
1455,1429K,week
1505,1421S,week
1515,1425S,week
1525,1459S,week
1535,1407S,week
1545,1409K,week
1555,1515S,week
1605,1549E,week
1615,1505S,week
1625,1513K,week
1635,1531K,week
1645,1523K,week
1654,1661S,week
1701,1633S,week
1709,1655S,week
1718,1643S,week
1725,1603K,week
1732,1641S,week
1737,1629K,week
1745,1709S,week
1749,1653S,week
1753,1639S,week
1759,1711K,week
1804,1603S,week
1809,1759S,week
1813,1707K,week
1817,1745S,week
1822,1723S,week
1826,1759E,week
1831,1719S,week
1835,1717K,week
1839,1761E,week
1844,1731S,week
1847,1727S,week
1853,1857S,week
1859,1701K,week
1902,1851S,week
1905,1805K,week
1908,1821S,week
1912,1813S,week
1917,1807S,week
1922,1831K,week
1927,1851E,week
1934,1823K,week
1941,1949S,week
1948,1801S,week
1952,1955S,week
1958,1945E,week
2005,1943S,week
2010,1805S,week
2015,1903K,week
2021,1865E,week
2027,1913K,week
2032,1929K,week
2039,1941S,week
2046,2009K,week
2053,2007K,week
2100,1961S,week
2108,1929S,week
2117,2003S,week
2126,2057S,week
2133,2017K,week
2140,2011K,week
2150,2053S,week
2159,2023S,week
2206,2101K,week
2216,2121S,week
2227,2155S,week
2237,2101S,week
2247,2131S,week
2257,2243S,week
2305,2119K,week
2314,2265E,week
2324,2229K,week
2333,2209K,week
2343,2207K,week
2352,2361S,week
0005,2321K,week
0016,2317K,week
0024,2311K,week
0031,2325K,week
0047,2401K,week
0057,2429K,week
